id,begin_idx,end_idx,notes
sub1_basic_a_n_1,49,52,jiggling in place
sub1_basic_a_n_2,40,45,jiggling in place
sub1_basic_a_n_3,42,46,jiggling in place
sub1_basic_a_n_4,50,56,jiggling in place
sub1_basic_a_n_5,22,27,no movement
sub1_basic_b_n_1,83,219,
sub1_basic_b_n_2,46,118,
sub1_basic_b_n_3,90,160,
sub1_basic_b_n_4,39,77,jiggling in place
sub1_basic_b_n_5,22,27,jiggling in place
sub1_basic_c_n_1,40,119,
sub1_basic_c_n_2,70,166,
sub1_basic_c_n_3,70,139,
sub1_basic_c_n_4,73,133,
sub1_basic_c_n_5,26,58,
sub1_basic_d_n_1,47,105,
sub1_basic_d_n_2,55,113,
sub1_basic_d_n_3,39,63,
sub1_basic_d_n_4,38,45,jiggling in place
sub1_basic_d_n_5,23,27,jiggling in place
sub1_basic_e_n_1,35,40,jiggling in place
sub1_basic_e_n_2,52,57,jiggling in place
sub1_basic_e_n_3,57,65,jiggling in place
sub1_basic_e_n_4,49,80,jiggling in place
sub1_basic_e_n_5,26,31,jiggling in place
sub1_basic_f_n_1,46,120,
sub1_basic_f_n_2,53,112,
sub1_basic_f_n_3,52,90,
sub1_basic_f_n_4,44,52,jiggling in place
sub1_basic_f_n_5,38,43,jiggling in place
sub1_basic_g_n_1,50,164,
sub1_basic_g_n_2,62,140,
sub1_basic_g_n_3,44,72,
sub1_basic_g_n_4,52,112,
sub1_basic_g_n_5,29,65,
sub1_basic_h_n_1,65,134,
sub1_basic_h_n_2,56,108,
sub1_basic_h_n_3,53,84,
sub1_basic_h_n_4,55,66,
sub1_basic_h_n_5,34,39,jiggling in place
sub1_m2stiff_a_n_1,44,225,
sub1_m2stiff_a_n_2,55,247,
sub1_m2stiff_a_n_3,34,91,
sub1_m2stiff_a_n_4,41,115,
sub1_m2stiff_a_n_5,20,101,
sub1_m2stiff_b_n_1,49,54,no movement
sub1_m2stiff_b_n_2,35,40,no movement
sub1_m2stiff_b_n_3,21,26,no movement
sub1_m2stiff_b_n_4,31,36,no movement
sub1_m2stiff_b_n_5,33,38,no movement
sub1_m2stiff_c_n_1,69,74,no movement
sub1_m2stiff_c_n_2,32,37,no movement
sub1_m2stiff_c_n_3,24,29,no movement
sub1_m2stiff_c_n_4,17,22,no movement
sub1_m2stiff_c_n_5,29,34,no movement
sub1_m2stiff_d_n_1,36,63,jiggling in place
sub1_m2stiff_d_n_2,41,50,jiggling in place
sub1_m2stiff_d_n_3,37,42,no movement
sub1_m2stiff_d_n_4,31,36,no movement
sub1_m2stiff_d_n_5,19,24,no movement
sub1_m2stiff_e_n_1,30,190,
sub1_m2stiff_e_n_2,48,104,
sub1_m2stiff_e_n_3,34,108,
sub1_m2stiff_e_n_4,35,92,
sub1_m2stiff_e_n_5,24,52,
sub1_m2stiff_f_n_1,52,59,no movement
sub1_m2stiff_f_n_2,40,45,no movement
sub1_m2stiff_f_n_3,28,33,jiggling in place
sub1_m2stiff_f_n_4,28,33,jiggling in place
sub1_m2stiff_f_n_5,17,22,no movement
sub1_m2stiff_g_n_1,32,37,no movement
sub1_m2stiff_g_n_2,32,37,no movement
sub1_m2stiff_g_n_3,28,33,no movement
sub1_m2stiff_g_n_4,32,37,jiggling in place
sub1_m2stiff_g_n_5,20,25,no movement
sub1_m2stiff_h_n_1,46,51,no movement
sub1_m2stiff_h_n_2,33,38,jiggling in place
sub1_m2stiff_h_n_3,30,35,no movement
sub1_m2stiff_h_n_4,28,33,jiggling in place
sub1_m2stiff_h_n_5,20,25,no movement
sub1_m2active_a_n_1,70,287,tilt
sub1_m2active_a_n_2,35,583,
sub1_m2active_a_n_3,36,510,wobble
sub1_m2active_a_n_4,31,620,
sub1_m2active_a_n_5,43,345,
sub1_m2active_b_n_1,29,160,
sub1_m2active_b_n_2,22,550,
sub1_m2active_b_n_3,24,505,tilt
sub1_m2active_b_n_4,29,965,
sub1_m2active_b_n_5,43,503,wobble
sub1_m2active_c_n_1,32,106,wobble
sub1_m2active_c_n_2,20,110,tilt & wobble
sub1_m2active_c_n_3,14,41,
sub1_m2active_c_n_4,42,148,
sub1_m2active_c_n_5,52,297,wobble
sub1_m2active_d_n_1,53,196,wobble
sub1_m2active_d_n_2,16,385,
sub1_m2active_d_n_3,18,499,tilt
sub1_m2active_d_n_4,44,934,tilt & wobble
sub1_m2active_d_n_5,47,978,
sub1_m2active_e_n_1,133,504,
sub1_m2active_e_n_2,46,907,
sub1_m2active_e_n_3,20,539,wobble
sub1_m2active_e_n_4,36,1048,wobble
sub1_m2active_e_n_5,54,1632,
sub1_m2active_f_n_1,26,171,
sub1_m2active_f_n_2,17,867,tilt & wobble
sub1_m2active_f_n_3,32,579,
sub1_m2active_f_n_4,40,432,
sub1_m2active_f_n_5,15,287,
sub1_m2active_g_n_1,41,161,
sub1_m2active_g_n_2,14,547,
sub1_m2active_g_n_3,36,223,wobble
sub1_m2active_g_n_4,89,249,tilt & wobble
sub1_m2active_g_n_5,53,268,
sub1_m2active_h_n_1,15,105,tilt & wobble
sub1_m2active_h_n_2,15,1415,
sub1_m2active_h_n_3,1,759,wobble
sub1_m2active_h_n_4,95,870,big wobble
sub1_m2active_h_n_5,78,568,"pre-start wobble,  end wobble"
sub1_m2active_n_cw_1,,,
sub1_m2active_n_cw_2,,,
sub1_m2active_n_cw_3,,,
sub1_m2active_n_cw_4,,,
